berita,tagging,judul_berita
"Belum genap sebulan, dua produk terbaru Apple, iPhone 6 dan iPhone 6 Plus sudah diragukan kekuatannya. Beberapa pengguna iPhone 6 Plus terkejut bukan kepalang saat mendapati iPhone kesayangannya itu melengkung setelah diletakkan beberapa lama di dalam saku belakang celana.
""Bendgate"", demikian istilah yang dipakai para netizen untuk mengolok-olok kelemahan iPhone terbaru Apple itu. Ini mengingatkan publik penggila teknologi pada skandal ""antennagate"" yang populer di kalangan netizen pada tahun 2010 silam. Ketika itu, para pengguna iPhone 4 melaporkan kesalahan desai antena yang menyebabkan sering terputusnya hubungan telepon. 
Hingga berita ini diturunkan, belum ada komentar dari Apple soal iPhone 6 Plus yang bisa melengkung dalam saku itu. Namun, mereka mengumumkan sedang menyelidiki laporan soal masalah yang ditemukan dalam sistem operasi (OS) iOS 8. Bahkan, Apple menarik OS versi 8.0.1.
Berdasarkan pantauan di media sosial seperti Facebook dan Twitter, masalah iPhone 6 yang bisa melengkung membuat para pengguna celana jeans khawatir. Bahkan, kalimat ""Celanamu terlalu ketat untuk ponselmu"" jadi populer dan di-mention berulang kali.",Hoax,"Belum genap sebulan, dua produk terbaru Apple, iPhone 6 dan iPhone 6 Plus sudah diragukan kekuatannya."
"Belum selesai iPhone 5 dilempar ke pasar, Apple sudah mempunyai ide untuk generasi ke-6 smartphone mereka. Kabarnya, Apple akan memperkenalkan produk baru dengan layar sentuh melengkung tahun depan. Perusahaan asal California ini telah menghubungi pemasok layar iPad dan iPhone, Lens Technology, G-Tech dan Fuji Crystal, dan akan memasok mereka dengan peralatan untuk memoles lekukan kaca.
Penggunaan layar sentuh dengan kaca melengkung, menurut sejumlah pemakai terasa lebih nyaman selama panggilan telepon. Lekukan tersebut juga melindungi layar dari goresan ketika smartphone atau tablet ditaruh dalam posisi telungkup. Corning, yang menyediakan layar anti gores untuk sejumlah smartphone, telah mengembangkan sebuah versi melengkung layar Gorilla Glass populer mereka. tetapi tidak jelas jika layar ini akan digunakan pada produk Apple di masa mendatang.
Ini bukan pertama kalinya desain tersebut digunakan pada perangkat smartphone. Google dan Samsung juga membekali smartphone Nexus S dengan layar cekung. Dell juga pernah bermain-main dengan tampilan melengkung pada smartphone Venue Pro yang berplatform Windows phone. Meski popularitas layar cekung nampak menanjak, beberapa pengamat melihat desain tersebut sebagai tren sesaat saja.
",Hoax,"Belum selesai iPhone 5 dilempar ke pasar , Apple sudah mempunyai ide untuk generasi ke-6 smartphone mereka ."
"Kabar yang satu ini mungkin sangat berguna bagi para konsumen Tanah Air yang berniat membeli iPhone 6 Plus saat dirilis di pasar Indonesia nanti.
Setelah beberapa hari dirilis di sejumlah negara, smartphone anyar Apple berlayar jumbo 5,5 inci itu mulai menuai protes dari pengguna. Menurut laporan sebagian pengguna iPhone 6 Plus, iPhone berlayar terbesar itu ternyata mudah melengkung bila terlalu lama disimpan di dalam saku celana. Kejadian ini pertama kali dilaporkan oleh seorang pemilik iPhone 6 bernama Hanzon di situs forumMacRumors. Ia mengaku menyimpan iPhone 6 Plus di dalam saku celana selama kurang lebih 4 jam, dan melakukan aktifitas sehari-hari seperti biasa. Saat dikeluarkan, Hanzon terkejut ketika ia melihat bagian tengah iPhone 6 Plus miliknya itu sedikit 'membungkuk', alias melengkung.
Tak hanya Hanzon, laman MacRumors melansir, seorang pengguna lain bernama Devin Pitcher juga mengungkapkan keluhan serupa di forum. Devin mengaku menyimpan iPhone 6 Plus anyar miliknya di saku celana bagian depan. Saat dikeluarkan, bagian tengah iPhone 6 Plus pun melengkuk seperti tank sanggup menahan tekanan.
Penggunaan layar besar 5,5 inci memang dikhawatirkan akan mengganggu kenyamanan pengguna. Apple pun sudah melakukan antisipasi dengan memindahkan tombol Power yang biasanya diletakan di bagian atas ke bagian samping kanan agar memudahkan penggunaan dengan satu tangan. Namun masalah dimensi yang besar membatasi kenyaman pengguna saat menyimpannya di saku celana tampaknya tidak terpikirkan oleh Apple. Selain itu, Apple juga dinilai melakukan kesalahan dengan memilih material campuran metal-aluminium yang tidak terlalu solid sebagai bahan dasar rangka iPhone 6 Plus. 
Mungkin Rangka Iphone tersebut belum lulus Uji  UTM (Universal Testing Machine). Uji UTM berfungsi menguji rangka Iphone 6 plus dengan cara ditekan dan di tarik hingga batas maksimal. Jika kekuatan yang di butuhkan untuk membengkokkan Iphone tersebut kecil, Berarti mudah bengkok
Apa itu UTM ? Universal Testing Machine merupakan sebuah mesin pengujian untuk  menguji tegangan tarik dan kekuatan tekan bahan atau material. Universal  Testing Machine, biasanya juga dikenal sebagai Universal Tester, Materials Testing Machine atau Materials Test  Frame. Mesin pengujian ini telah terbukti bahwa ia dapat melakukan tarik banyak standar dan tes kompresi pada bahan, komponen, dan struktur
",Hoax,"Kabar yang satu ini mungkin sangat berguna bagi para konsumen Tanah Air yang berniat membeli iPhone 6 Plus saat dirilis di pasar Indonesia nanti.
"
"California - Beberapa hari belakangan ini sejumlah keluhan pengguna iPhone 6 Plus meramaikan dunia maya. Smartphone anyar Apple berlayar 5,5 inci itu dilaporkan mudah melengkung bila terlalu lama disimpan di dalam saku celana. Sontak kabar ini menjadikan Apple bulan-bulanan di berbagai media sosial. Tak hanya para pengguna, beberapa kompetitor Apple pun tak menyia-nyiakan momen ini untuk 'menghajar' perusahaan berlogo buah apel tergigit itu. Dan kini Apple akhirnya angkat bicara. Menurut laporan yang dilansir laman Wall Street Journal, perwakilan Apple telah menjelaskan bahwa masalah iPhone 6 Plus yang mudah melengkung ini terlalu dibesar-besarkan. Apple mengklaim bahwa pihak perusahaan sejauh ini baru menerima 9 keluhan pengguna dari 10 juta unit iPhone 6 dan iPhone 6 Plus yang telah terjual. Ini artinya, cacat pada iPhone 6 Plus tersebut tidak terjadi di semua unit, melainkan hanya sebagian kecil. ""Dengan penggunaan normal, iPhone 6 Plus yang melengkung akan sangat langka terjadi,"" ungkap perwakilan Apple seperti yang dikutip dari laman Business Insider, Jumat (26/9/2014). Selain itu, Jon Fort, editor situs berita CNBC juga menyebutkan bahwa perwakilan Apple telah mengkonfirmasi bahwa hanya ada sebagian kecil konsumen yang mengalami masalah iPhone 6 Plus melengkung. Dijelaskan pula bahwa sebenarnya rangka body iPhone 6 Plus sudah cukup kuat dan memenuhi standarisasi Apple. iPhone baru sudah disisipi baja/titanium untuk memperkuat sejumlah lokasi tekanan dan menggunakan jenis kaca terkuat dalam industri ini, kata perwakilan Apple. Laman Business Insider mencatat, ini adalah respon tercepat Apple dalam menanggapi isu miring yang beredar liar di internet. Sebelumnya Apple selalu 'cuek' terhadap berbagai isu miring yang menimpa produk-produk mereka. Jakarta  Apple menerima berita tak sedap mengenai produk terbarunya iPhone 6 Plus. Perangkat phablet buatan Apple ini dikeluhkan oleh sebagian penggunanya memiliki body yang ringkih mudah melengkung saat di masukkan ke saku depan celana. Laporan ini berasal dari pengguna di Forum Macrumors bernama Hanzon, yang menceritakan dia memasukan iPhone 6 Plus ke dalam saku celana bagian depan dalam waktu yang cukup lama, yakni sekitar 4 jam. Hanzon mengaku dia tidak mengeluarkan iPhone 6 Plus miliknya selama menjalankan aktifitasnya selama 4 jam tersebut. Dan ketika dia kemudian mengeluarkan smartphone barunya tersebut, Hanzon kaget karena mendapati iPhone 6 Plus kesayangannya melengkung. Melihat semakin ramainya laporan-laporan tersebut, seorang pengguna menguji kelenturan iPhone 6 Plus serta menguploadnya di YouTube. Sebagai pembanding, dia juga menguji kelenturan dari smartphone lain, yaitu Samsung Galaxy Note 3. Dalam tayangan video tersebut, terlihat bagaimana iPhone 6 Plus ternyata memang sangat mudah melengkung. Pengguna yang yang memposting video tersebut juga mengatakan bahwa sebelum tes iPhone 6 Plus miliknya, sudah terlihat sedikit melengkung. Titik lemah tampaknya berada di sisi kiri, tepat di bawah tombol volume. Masalah body melengkung ini sepertinya hanya terjadi pada iPhone 6 Plus saja. Sementara untuk iPhone 6 yang memiliki ukuran 4,7 inci tidak ada laporan soal masalah body melengkung ini",Hoax,California - Beberapa hari belakangan ini sejumlah keluhan pengguna iPhone 6 Plus meramaikan dunia maya.
"BeritaTeknologi.com Smartphone dengan layar melengkung seperti Galaxy Round dan G Flex belum memperoleh hasil yang signifikan di pasaran. Terlebih dengan harganya yang sangat mahal. Namun hal tersebut dilaporkan tak menghentikan perusahaan smartphone lain untuk memproduksi handphone dengan layar melengkung.
iPhone terbaru milik Apple di tahun 2014 pun dikabarkan tak mau ketinggalan dengan menggunakan layar melengkung. Dalam sebuah laporan yang ditulis Bloomberg, iPhone 6 milik Apple bakal hadir dengan upgrade besar-besaran dibandingkan iPhone 5S. Sumber dari Bloomberg mengatakan bahwa iPhone 6 itu tak hanya bakal hadir dengan desain layar melengkung. Apple pun dikatakan bakal menggunakan sensor tambahan yang mampu mendeteksi tingkat tekanan yang berbeda. Selain itu, Apple juga dikatakan menyiapkan dua model iPhone 6, salah satunya bakal hadir dengan layar 5.5 inci sedangkan yang lainnya mempunyai layar 4.7 inci. Kedua model iPhone 6 itu akan hadir dengan desain layar melengkung.
",Hoax,BeritaTeknologi.com Smartphone dengan layar melengkung seperti Galaxy Round dan G Flex belum memperoleh hasil yang signifikan di pasaran.
"Aple akhirnya buka suara mengenai kasus iPhone 6 melengkung yang ramai diperbincangkan di media sosial dengan istilah #Bendgate. Menurut Apple, iPhone 6 yang melengkung adalah kasus yang langka dan hanya sedikit yang mengalaminya.

Dikutip dari The Verge, Jumat (26/9/2014), Apple berkata kepada stasiun berita CNBC dan beberapa media lainnya bahwa walau banyak yang membahasnya di jejaring sosial maupun media online, namun Apple hanya menerima 9 komplain dari konsumen tentang iPhone 6 bengkok saat penggunaan normal.

Apple mengatakan bahwa masalah perangkatnya yang melengkung itu sangat jarang terjadi. Apple juga mengatakan bahwa desain iPhone 6 dan iPhone 6 Plus menggunakan bahan logam baja/titanium yang berguna untuk memperkuat struktur perangkatnya itu.

Selain itu, layar iPhone 6 dan iPhone 6 Plus disebut Apple telah diperkuat dengan ion untuk menjaga agar tidak berubah bentuk.

Sebelumnya, gambar-gambar iPhone 6 dan iPhone 6 Plus yang melengkung beredar luas di internet. Beberapa pengguna mengatakan bahwa kejadian itu adalah akibat dari terlalu lama menyimpan iPhone 6 di saku celana.

Setelah itu, banyak beredar video di YouTube yang menunjukkan bahwa iPhone 6 dan iPhone 6 Plus memang mudah dibengkokkan hanya dengan sedikit tekanan saja.

Apple mengatakan akan memberikan ganti rugi terhadap kasus iPhone melengkung itu. Namun mereka akan melihatnya secara kasus per kasus sebelum memberikan garansi.",Valid,Aple akhirnya buka suara mengenai kasus iPhone 6 melengkung yang ramai diperbincangkan di media sosial dengan istilah #Bendgate.
"Jakarta - Ketika Apple meluncurkan iPhone 6 Plus sebagai iPhone terbesar dengan ukuran layar 5.5 inch, banyak yang khawatir itu akan membuat penggunanya kesulitan memasukan ke kantong celana. Ketakutan tersebut akhirnya terbukti.
Memang ini bukan sebagian besar, namun beberapa pengguna iPhone 6 Plus yang memasukan piranti ke kantong celananya terpaksa harus menerima kenyataan bagian yang melengkung di iPhone 6 Plus miliknya.
Seperti yang diceritakan pengguna Forum Macrumors bernama Hanzon. Dia mengaku cukup lama memasukan iPhone 6 Plus ke dalam saku celana bagian depan. Setidaknya 4 jam perangkat tersebut berada di kantungnya.
Saat di dalam celana tersebut, Hanzon tak mengeluarkan iPhone 6 Plus itu dan terus beraktivitas biasa seperti. Hasilnya, dia mendapati bagian tengah smartphone barunya itu agak 'membungkuk'.
Pengalaman buruk juga dialami oleh DevinPitcher. Dia juga menaruh iPhone 6 Plus miliknya di saku depan. Tak dijelaskan berapa lama dia manaruhnya, yang jelas itu cukup membuat melengkung. Demikian yang dikutip detikINET dari Macrumors, Rabu (24/9/2014).
Belum ada konfirmasi resmi dari pihak Apple mengenai masalah tersebut. Namun yang jelas ini menjadi alasan untuk pengguna iPhone 6 Plus agar berhati-hati menaruh iDevice terbarunya.",Hoax,"Jakarta - Ketika Apple meluncurkan iPhone 6 Plus sebagai iPhone terbesar dengan ukuran layar 5.5 inch, banyak yang khawatir itu akan membuat penggunanya kesulitan memasukan ke kantong celana."
"Belum ada satu bulan sejak perilisan dan penjualan resminya, sejumlah pengguna iPhone 6 dan iPhone 6 Plus sudah mulai memberikan keluhan dan kritikannya kepada Apple karena suatu hal. Yang paling sering ditemukan, para pengguna ini mengeluh karena iPhone 6 dan iPhone 6 Plus milik mereka bengkok dalam seketika setelah dimasukan ke dalam saku.

Dilaporkan oleh Daily Mail, setidaknya ada sejumlah pengguna iPhone 6 dan iPhone 6 Plus yang mengalamai hal itu dan melaporkannya ke Apple serta CEO-nya, Tim Cook lewat sosial media sambil mengunggah foto perangkat mereka yang bengkok tersebut.

""Hai Tim Cook! Sebenarnya aku sangat menyukai perangkat terbaru iPhone 6 Plusku ini, fitur yang paling aku sukai dari iPhone 6 Plus ini adalah kefleksibilitasnya hingga melengkung seperti ini! kicau seorang pengguna di Twitter.

Sementara itu, pengguna lain juga menyebutkan bahwa ia membawa iPhone 6 barunya tersebut di dalam saku dan langsung melengkung begitu dikeluarkan. Menurutnya, hal ini disebabkan oleh bahan material yang digunakan sangat rentan dengan hal seperti itu.

Baca juga: Smartphone Baru Buatan Korea Utara Ini 'Gabungkan' iPhone dan Samsung Galaxy
""Aku pergi menyetir dan menaruh iPhone 6-ku di kantong, aku turun dan kemudian duduk meminum kopi di kafe. Saat mengeluarkan iPhone 6-ku, betapa terkejutnya aku melihat bentuknya yang sudah tidak seperti semula. Mengecewakan, kata seorang pengguna bernama Hanzoh.
Ukuran iPhone 6 Plus yang mencapai 5.5 inchi dengan bahan material yang terbuat dari metal tersebut ternyata tidak seperti yang diperkirakan sebelumnya. Meski baru sedikit yang mengalami hal ini, jumlah pengguna yang iPhone 6 miliknya bengkok mulai bertambah. Tentu ini menjadi kekecewaan tersendiri bagi mereka yang harus membayar hingga belasan jutaan rupiah untuk perangkat tersebut.",Hoax,"Belum ada satu bulan sejak perilisan dan penjualan resmi nya , sejumlah pengguna iPhone 6 dan iPhone 6 Plus sudah mulai memberikan keluhan dan kritikan nya kepada Apple karena suatu hal ."
"Setelah beberapa minggu berada di pasaran dan menjadi benda yang paling banyak dicari oleh para pecinta gadget kelas premium, ternyata ada beberapa pengguna iPhone 6 yang merasa kecewa  dengan produk yang mereka beli dengan harga yang cukup mahal tersebut. Ada beberapa dari pengguna iPhone yang merasa bahwa kualitas pernagkat yang mereka beli jauh dibawah standar karena mereka merasaiPhone 6 lembek dan mudah melengkung.

Hal tersebut diatas bukan hanya isu atau gosip. Coba Anda masukkan iPhone baru Anda ke kantong celana tanpa wadah pelindung atau coba Anda tekan sedikit saja seperti Anda hendak mematahkan sebatang coklat, maka Anda akan segera tahu memang body iPhone 6 mudah melengkung. Jika Anda merasa tidak rela harus membengkokan iPhone Anda sendiri, sudah banyak video dan gambar yang bisa Anda nduh dan lihat dari internet yang memperlihatkan kelemahan Apple tersebut.

Akibat luapan kekecewaan pengguna iPhone 6 yang banyak diunggah di YouTube dan juga laporan yang masuk ke Apple, yang mengatakan body iPhone terbaru jauh lebih lembek dari pendahulunya, Apple harus menelan pil pahit dengan mengalami penurunan nilai saham Apple sebesar 3,8%. Harga saham Apple menurun setelah video bengkoknya iPhone beredar di YouTube.

Selain itu, video yang memperlihatkan bahwa iPhone 6 lembek dan mudah melengkung juga diperparah dengan adanya banyak laporan yang menyatakan bahwa ada banyak kesalahan dalam pembaharuan iOS dari iOS 7 ke iOS 8. Masalah-masalah yang dihadapi antara lain adalah update yang terputus-putus dan juga pengguna space yang lebih dari 5GB hanya untuk update, sehingga banyak pengguna iPhone yang harus menghapus sebagian file foto dan video yang mereka punyai.

Untuk menghindari isu yang lebih luas, Apple kemudian membuat klaim bahwa kerusakan yang terjadi pada iPhone 6 yang diklaim lembek dan mudah melengkung itu langka terjadi jika dipergunakan dengan normal. Apple mengklaim dalam 6 hari penjualan, hanya ada 9 konsumen yang mengontak iPhone karena produk mereka bengkok, namun Apple lupa bahwa iPhone dijual ke seluruh dunia dan ada lebih banyak pengguna yang tidak tahu harus menghubungi siapa  untuk mendapatkan  ganti iPhone mereka karena memang kerusakan tersebut tidak termasuk garansi.

Masalah lain yang terkait dengan isu iPhone 6 lembek dan mudah bengkok adalah update iOS 8 yang dinyatakan bermasalah.  Banyak konsumen yang menelepon karena mendapati kesalahan saat mendeteksi sidik jari mereka. Karena hal tersebut, Apple kemudian menghentikan distribusi iOS dan merilis yang baru sehari kemudian. Jika dibandingkan dengan pesaing, kekuatan iPhone 6 hanya separuh saja dari produk pesaing seperti Samsung dan LG. Dari Galaxy Note 3, LG G3, HTC One M8, dan iPHone, yang diuji dengan beban 4,5KG, yang langsung melengkung bodinya adalah iPhone 6 dan M8, lapor Consumer Reports.",Hoax,"Setelah beberapa minggu berada di pasaran dan menjadi benda yang paling banyak dicari oleh para pecinta gadget kelas premium, ternyata ada beberapa pengguna iPhone 6 yang merasa kecewa  dengan produk yang mereka beli dengan harga yang cukup mahal tersebut."
"Jika iPhone 4s mempunyai masalah fatal berupa penurunan fungsi antena, maka iPhone seri terbaru terancam masalah dari segi desain. Salah satu konsumen iPhone 6 Plus melaporkan bila iPhone kesayangannya terlihat melengkung setelah beberapa waktu pemakaian.

Hampir satu minggu setelah iPhone 6 Plus gelombang pertama masuk pasar dan mulai digunakan di seluruh dunia, seorang penulis portal berita teknologi, Russel Holly mengaku bila iPhone 6 Plus miliknya ketahuan melengkung di bagian layar depannya. Komplain dari Holly tersebut dilayangkan setelah muncul beberapa komplain serupa di sebuah forum dunia maya, Ars Technica (24/09).

Berdasarkan hasil analisis dari laporan Holly, besar kemungkinan bila iPhone 6 Plus miliknya melengkung akibat tekanan dari saku dan paparan panas tubuh yang membuat body smartphone tersebut memuai. Kombinasi dua faktor tersebut diklaim mempermudah iPhone 6 Plus yang memang memiliki dimensi lebar dan tipis untuk melengkung.

Beberapa laporan lain menyatakan bila iPhone 6 Plus mereka melengkung setelah dimasukkan di saku belakang dan dipakai untuk aktivitas seperti duduk hingga berdansa. Hanya berselang belasan jam, iPhone 6 Plus tersebut nampak melengkung tetapi masih bisa digunakan dengan lancar.

Pihak Apple sendiri belum mengeluarkan konfirmasi resmi mereka terkait potensi melengkungnya iPhone 6 atau iPhone 6 Plus setelah pemakaian dalam jangka waktu tertentu. Tidak sedikit pihak yang menyatakan bisa saja kesalahan desain lah yang membuat iPhone 6 dapat bengkok.

Isu melengkungnya iPhone 6 Plus akan memberi citra buruk pada Apple apabila nantinya kasus ini menjadi 'epidemi' di kalangan penggunanya. Perusahaan yang dipimpin oleh Tim Cook tersebut tentunya tidak mau kasus kerusakan massal antena iPhone 4s kembali terulang di salah satu produk terbaik yang dibuat di bawah era CEO baru Apple tersebut",Hoax,"Jika iPhone 4s mempunyai masalah fatal berupa penurunan fungsi antena, maka iPhone seri terbaru terancam masalah dari segi desain."
