berita,tagging,judul_berita
"Tidak diberhentikannya  Ahok sebagai Gubernur DKI Jakarta terkait stastusnya sebagai terdakwa  dalam kasus penistaan agama Islam,  menunjukkan bahwa betapa susahnya hukum di negeri ini untuk ditegakkan. Bagaimana bisa mencari keadilan kalau hukum yang menjadi alat untuk mencari keadilan saja sulit untuk ditegakkan.

Tidak sedikit pakar hukum dan tata negara termasuk mantan Hakim MK Mahfud MD,  mengkritisi langkah yang diambil pemerintah, khususnya Mendagri Tjahyo Kumolo dan Presiden Joko Widodo yang diam saat Ahok kembali menduduki kursi Gubernur, semetara beberapa kepala daerah lain justru diberhentikan saat statusnya menjadi terdakwa suatu tindak pidana.

Hal ini akhirnya bermuara pada tuntutan penegakan hukum lewat aksi bela  Islam dan Bela Negaran yang dilakukan oleh masyarakat Muslim yang tergabubg dalam FUI  (Forum Umat Islam) pada hari ini (Selasa, 21/02/2017).

Selain massa dari FUI, terlihat juga sejumlah mahasiswa yang tergabung dalam gerakan mahasiswa bela rakyat. Adapun tuntutan mereka diantaranya adalah, memberhentikan gubernur yang menjadi tersangka, hentikan kriminalisasi ulama, hentikan penangkapan aktivis mahasiswa, kembalikan kedaulatan bangsa dan kembalikan ke UUD 1945 yang asli.

Aksi yang digelar di depan Gedung DPR-MPR ini ternyata ikut menarik massa dari luar Jakarta. Mereka coba untuk berkumpul di Masjid Istiqlal untuk melakukan shalat shubuh berjamaah dan juga saat itu cuaca sedang hujan.Rupanya pagar masjid Istiqlal justru tertutup rapat, padahal saat itu sudah mendekati waktu Shubuh.Akibatnya jamaah Aksi harus kehujanan, sebagian diantaranya  memilih tiduran di jalan sambil menunggu waktu Shubuh.Menurut laporan salah satu kontributor gabbarberita.com di lapangan, masjid baru dibuka pukul sekitar pukul 04.00 WIB. Sebelumnya kemana pengurus BPPMI dan ditunjuk dan dilantik langsung oleh Menteri Agama yang juga dalam struktur selaku Ketua BPPMI.",Hoax,"Tidak diberhentikannya  Ahok sebagai Gubernur DKI Jakarta terkait stastusnya sebagai terdakwa  dalam kasus penistaan agama Islam,  menunjukkan bahwa betapa susahnya hukum di negeri ini untuk ditegakkan."
"Pada aksi 212 jilid II yang dilakukan pada Selasa (21/2/2017) pagi beredar kabar di berbagai media sosial mengenai penutupan gerbang Masjid Istiqlal bagi para pengunjung. Terkait hal tersebut, Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI) merasa perlu untuk memberikan klarifikasi.

Dalam keterangan secara resmi pada Selasa (21/2/2017), pihak Sekretaris Badan Pelaksana Pengelola Masjid Istiqlal, Rusli Effendi memberikan klarifikasi terkait hal tersebut. Klarifikasi perlu dilakukan agar berita yang beredar sejauh ini tidak menjadi kesalahpahaman yang menyesatkan.

BPPMI juga turut menghimbau kepada segenap kaum Muslimin agar tidak mempengaruhi pemberitaan yang tidak dapat dipertanggungjawakan dengan baik. Sedangkan kabar digemboknya masjid sehingga umat tidak bisa Shalat Subuh adalah hoax atau berita bohong semata.

Penutupan masjid memang sudah menjadi peraturan ataupun Protap di Istiqlal. Begini klarifikasi yang disampaikan secara resmi oleh BPPMI seperti yang tertera di republika.co.id.

    Badan Pelaksana Pengelola Masjid Istiqlal sejak tahun 2002 telah memberlakukan aturan (SOP), menutup pintu-pintu gerbang pada setiap malam pukul 21.30. Masjid dibuka kembali pada pagi hari pukul 03.40, menjelang diselenggarakannya Ibadah shalat Subuh. Aturan (SOP) ini diberlakukan memang dalam rangka untuk mengoptimalkan keamanan masjid pada malam hari. Seluruh peziarah tidak diperkenankan menginap di area Masjid Istiqlal, kecuali dalam kondisi tertentu dan atas izin dari pihak keamanan dan pimpinan BPPMI.
    Terkait kondisi malam hari tanggal 20 sampai dini hari tanggal 21 Februari 2017, pihak keamanan Masjid Istiqlal sudah menjelaskan kepada jamaah yang berkumpul di halaman Masjid Istiqlal mengenai prosedur tersebut dan mereka memahami serta bersedia meninggalkan area Masjid Istiqlal.
    BPPMI tidak mendapat pemberitahuan dari pihak manapun terkait adanya rencana jamaah yang akan menginap seperti pada kondisi sebelumnya saat umat Islam mengadakan aksi 411, 212 atau 112. Tidak ada pula komunikasi khusus dari pihak berwajib terkait hal tersebut.
    Masjid Istiqlal senantiasa berkhidmah kepada umat dan mengupayakan kesatuan serta persatuan bangsa, dan senantiasa menjaga kenyamanan beribadah.
    BPPMI menyatakan kalau berita-berita negatif yang telah tersebar di media sosial mengenai hal tersebut di atas, tidak sesuai dengan kenyataan dan cenderung bermuatan provokasi.
    BPPMI mengimbau kepada segenap kaum Muslimin dimohon tidak terpengaruh oleh pemberitaan yang tidak dapat dipertanggungjawabkan.
    Pelaksanaan shalat Subuh di Masjid Istiqlal pada hari ini berjalan dengan baik dan lancar, dipimpin Ustaz Salim Ghazali. Jumlah jamaah sekitar 240 orang (laki-laki 170 dan wanita 70 orang).",Valid,Pada aksi 212 jilid II yang dilakukan pada Selasa (21/2/2017) pagi beredar kabar di berbagai media sosial mengenai penutupan gerbang Masjid Istiqlal bagi para pengunjung.
"Pada Selasa (21/2) pagi, beredar kabar di media sosial tentang penutupan gerbang Masjid Istiqlal bagi pengunjung. Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI) merasa perlu memberikan klarifikasi.  Dalam keterangan resmi yang diterima Republika.co.id, Selasa (21/2), Kabag Protokol Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI), Abu Hurairah Abd Salam memberi klarifikasi agar apa yang beredar sejauh ini tidak terjadi kesalahpahaman. BPPMI juga mengimbau kepada segenap kaum Muslimin dimohon tidak terpengaruh oleh pemberitaan yang tidak dapat dipertanggungjawabkan.  Adapun kabar mengenai digemboknya masjid sehingga umat tidak bisa Shalat Subuh, kata dia, adalah hoax atau bohong. Menurutnya, penutupan masjid memang sudah peraturan atau pun Protap di Istiqlal.  ini penjelasannya: Badan Pelaksana Pengelola Masjid Istiqlal sejak tahun 2002 telah memberlakukan aturan (SOP), menutup pintu-pintu gerbang pada setiap malam pukul 21.30. Masjid dibuka kembali pada pagi hari pukul 03.40, menjelang diselenggarakannya Ibadah shalat Subuh. Aturan (SOP) ini diberlakukan memang dalam rangka untuk mengoptimalkan keamanan masjid pada malam hari. Seluruh peziarah tidak diperkenankan menginap di area Masjid Istiqlal, kecuali dalam kondisi tertentu dan atas izin dari pihak keamanan dan pimpinan BPPMI.  Terkait kondisi malam hari tanggal 20 sampai dini hari tanggal 21 Februari 2017, pihak keamanan Masjid Istiqlal sudah menjelaskan kepada jamaah yang berkumpul di halaman Masjid Istiqlal mengenai prosedur tersebut dan mereka memahami serta bersedia meninggalkan area Masjid Istiqlal.  BPPMI tidak mendapat pemberitahuan dari pihak manapun terkait adanya rencana jamaah yang akan menginap seperti pada kondisi sebelumnya saat umat Islam mengadakan aksi 411, 212 atau 112. Tidak ada pula komunikasi khusus dari pihak berwajib terkait hal tersebut.  Masjid Istiqlal senantiasa berkhidmah kepada umat dan mengupayakan kesatuan serta persatuan bangsa, dan senantiasa menjaga kenyamanan beribadah.  BPPMI menyatakan kalau berita-berita negatif yang telah tersebar di media sosial mengenai hal tersebut di atas, tidak sesuai dengan kenyataan dan cenderung bermuatan provokasi.  BPPMI mengimbau kepada segenap kaum Muslimin dimohon tidak terpengaruh oleh pemberitaan yang tidak dapat dipertanggungjawabkan.  Pelaksanaan shalat Subuh di Masjid Istiqlal pada hari ini berjalan dengan baik dan lancar, dipimpin Ustaz Salim Ghazali. Jumlah jamaah sekitar 240 orang (laki-laki 170 dan wanita 70 orang). ",Valid,"Pada Selasa (21/2) pagi, beredar kabar di media sosial tentang penutupan gerbang Masjid Istiqlal bagi pengunjung."
"Beredar foto peserta Aksi 212 Jilid Dua di media sosial yang tidak bisa masuk Masjid Istiqlal dini hari tadi karena pintu masjid ditutup. Menurut pihak pengelola masjid isu yang beredar tersebut tidak benar.

Itu hoax seribu persen, kata Kepala Bagian Protokol Masjid Istiqlal, Abu Hurairah Abdul Salam Selasa (21/2) pagi. Ia menjelaskan, aturan di Masjid Istiqlal selain bulan Ramadhan, masjid tutup pukul 21.30 WIB. Dibuka lagi satu jam sebelum waktu Shubuh. Kalau bulan Ramadhan, masjid buka 24 jam.

Ia mengatakan, untuk kasus yang semalam, memang ada peserta aksi yang datang dari Jawa Timur sebanyak lima bus. Mereka mengaku datang dari Madura. Peserta masuk masjid setelah waktu Isya. Pihak masjid memberikan kesempatan untuk beribadah dan bersih-bersih. Setelah mendekati jam 10 (malam), kami ketemu dengan ketua rombongannya, kami umumkan kepada rombongannya bahwasanya aturan di Istiqlal, masjid ini akan ditutup dan akan dibuka lagi nanti satu jam sebelum Shubuh, ujarnya.

Abu menerangkan, rombongan dari Jawa Timur paham dan mengerti. Pihak pengelola masjid menunggu mereka sampai meninggalkan Masjid Istiqlal dengan sukarela. Kemudian pada pukul 03.40 WIB masjid dibuka kembali. Dan yang ada di foto itu, kelihatan orang ngantre mau masuk, itu adalah rombongan ziarah Wali Songo dan anak-anak sekolah, biasa itu mah, mereka tiap hari kalau ke Istiqlal rombongan itu, jelasnya. Ia menegaskan, kesimpulannya berita yang beredar di instagram, Twitter dan media sosial lainnya, itu bohong.",Valid,Beredar foto peserta Aksi 212 Jilid Dua di media sosial yang tidak bisa masuk Masjid Istiqlal dini hari tadi karena pintu masjid ditutup.
"JAKARTA  Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI)? membantah pihaknya tidak menerima massa Aksi 212 Jilid II yang akan melakukan ibadah Salat Subuh di sana. Sebelumnya beredar kabar pengurus masjid terbesar di Asia Tenggara itu sengaja menutup pagar lantaran tidak ingin ?massa aksi melakukan Salat Subuh di sana.

""?Bahwa dalam rangka mengoptimalkan keamanan masjid BPPMI Masjid Istiqlal sejak 2002 telah memberlakukan aturan (SOP), menutup pintu-pintu gerbang pada setiap malam pukul 21.30 WIB dan membukanya kembali pada pagi hari pukul 03.40 WIB menjelang diselenggarakannya ibadah Salat Subuh. Seluruh peziarah tidak diperkenankan menginap di area Masjid Istiqlal kecuali dalam kondisi tertentu dan atas izin dari pihak keamanan dan pimpinan BPPMI,"" kata Humas BPPMI Abu Hurairah Abd Salam?, Selasa (21/2/2017).

Abu menjelaskan, kondisi malam hari 20 Februari 2017 sampai dini hari 21 Februari 2017, pihak keamanan Masjid Istiqlal sudah menjelaskan kepada jamaah yang berkumpul di halaman Masjid Istiqlal mengenai prosedur tersebut. Sehingga, para demonstran memahami serta bersedia meninggalkan area Masjid Istiqlal.

""BPPMI tidak mendapat pemberitahuan dari pihak manapun terkait adanya rencana jamaah yang akan menginap seperti pada kondisi sebelumnya saat umat Islam mengadakan Aksi 411, 212, atau 112. Juga tidak ada komunikasi khusus dari pihak berwajib terkait hal tersebut,"" imbuhnya.

Abu menambahkan, pengurus Masjid Istiqlal senantiasa berkhidmat kepada umat dan mengupayakan kesatuan serta persatuan bangsa dan senantiasa menjaga kenyamanan beribadah."" BPPMI menyatakan bahwa berita-berita negatif yang telah tersebar di media sosial mengenai hal tersebut di atas, tidak sesuai dengan kenyataan dan cenderung bermuatan provokasi,"" jelasnya.

Abu berharap kaum Muslimin tidak terpengaruh oleh pemberitaan yang tidak dapat dipertanggungjawabkan tersebut. ""Pelaksanaan Salat Subuh di Masjid Istiqlal pada hari ini berjalan dengan baik dan lancar, dipimpin oleh Imam, Ustadz Salim Ghazali. Jumlah jamaah sekira 240 orang atau laki-laki 170 dan wanita 70 orang,"" tandasnya. ",Valid,JAKARTA  Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI)?
"Massa dari berbagai daerah pada Kamis (1/12/2016) malam mulai mendatangani kawasan Monumen Nasional, Jakarta Pusat, untuk bersiap mengikuti acara doa bersama pada Jumat (2/12).

Warga Parung Panjang, Kabupaten Bogor, Fajhulah, yang ditemui di kawasan Monas mengaku sudah tiba bersama delapan rekannya pada pukul 22.00 WIB.

Namun, rencana masuk ke dalam kawasan Monas diurungkan karena kawasan doa bersama tersebut belum boleh dimasuki oleh umum hingga Jumat (2/12) pagi.
Masyarakat yang datang ke Monas pada Kamis malam juga berasal dari daerah di luar Jabodetabek lainnya seperti Tasikmalaya dan Garut, Jabar.
Kawasan Monas saat ini steril dari masyarakat umum untuk persiapan acara doa bersama.

Selain petugas keamanan, beberapa orang yang masuk hanyalah yang berkepentingan menyiapkan fasilitas acara.
Beberapa kendaraan untuk menyediakan air minum, air wudhu, peralatan obat-obatan, dan kendaraan taktis tampak berdatangan.

Alas untuk acara doa bersama dan shalat Jumat berjamaah juga sudah digelar lengkap dengan tempat wudlu yang melingkari Monas.
Pengamanan dilakukan ketat oleh aparat gabungan dari TNI, Polri, dan Pemerintah Provinsi DKI Jakarta.

Acara doa bersama 2 Desember 2016 rencananya akan digelar di Monas mulai Jumat pagi dengan pembacaan dzikir, shalawat, hingga diakhiri shalat Jumat berjamaah.",Hoax,"Massa dari berbagai daerah pada Kamis (1/12/2016) malam mulai mendatangani kawasan Monumen Nasional, Jakarta Pusat, untuk bersiap mengikuti acara doa bersama pada Jumat (2/12).

"
"Kabar Peserta Aksi Tak Bisa Masuk Istiqlal Karena Digembok Adalah HOAX
Posted on Februari 21, 2017 by RD	
istiqlal
Related Post

    HTI Kerap Ditentang Anshor dan NU, Ini Komentar Ustaz Bachtiar Nasir
    Beberapa Kejanggalan dalam Ansor Day Festival
    Ini Persiapan Jelang Kedatangan Habib Rizieq ke Siak
    Din Syamsuddin Diminta Bersiap Pimpin Perlawanan Umat Jika Ahok Bebas
    Tim Ahok Fitnah Umat Islam sebagai Perusuh Ganyang China, Aa Gym Protes Keras

Beredar foto peserta Aksi 212 Jilid Dua di media sosial yang tidak bisa masuk Masjid Istiqlal dini hari tadi karena pintu masjid ditutup. Menurut pihak pengelola masjid isu yang beredar tersebut tidak benar.

Itu hoax seribu persen, kata Kepala Bagian Protokol Masjid Istiqlal, Abu Hurairah Abdul Salam kepada Republika.co.id Selasa (21/2) pagi.

Ia menjelaskan, aturan di Masjid Istiqlal selain bulan Ramadhan, masjid tutup pukul 21.30 WIB. Dibuka lagi satu jam sebelum waktu Shubuh. Kalau bulan Ramadhan, masjid buka 24 jam.

Ia mengatakan, untuk kasus yang semalam, memang ada peserta aksi yang datang dari Jawa Timur sebanyak lima bus. Mereka mengaku datang dari Madura. Peserta masuk masjid setelah waktu Isya. Pihak masjid memberikan kesempatan untuk beribadah dan bersih-bersih.

Setelah mendekati jam 10 (malam), kami ketemu dengan ketua rombongannya, kami umumkan kepada rombongannya bahwasanya aturan di Istiqlal, masjid ini akan ditutup dan akan dibuka lagi nanti satu jam sebelum Shubuh, ujarnya.

Abu menerangkan, rombongan dari Jawa Timur paham dan mengerti. Pihak pengelola masjid menunggu mereka sampai meninggalkan Masjid Istiqlal dengan sukarela. Kemudian pada pukul 03.40 WIB masjid dibuka kembali.

Dan yang ada di foto itu, kelihatan orang ngantre mau masuk, itu adalah rombongan ziarah Wali Songo dan anak-anak sekolah, biasa itu mah, mereka tiap hari kalau ke Istiqlal rombongan itu, jelasnya. Ia menegaskan, kesimpulannya berita yang beredar di instagram,Twitter dan media sosial lainnya, itu bohong.",Valid,"Kabar Peserta Aksi Tak Bisa Masuk Istiqlal Karena Digembok Adalah HOAX
Posted on Februari 21, 2017 by RD	
istiqlal
Related Post

    "
"Beredar foto peserta Aksi 212 Jilid Dua di media sosial yang tidak bisa masuk Masjid
Istiqlal dini hari tadi karena pintu masjid ditutup. Menurut pihak pengelola
masjid isu yang beredar tersebut tidak benar.

""Itu hoax seribu persen,"" kata Kepala Bagian Protokol Masjid Istiqlal,
Abu Hurairah Abdul Salam kepada Republika.co.id Selasa pagi.

Ia mengatakan, untuk kasus yang semalam, memang ada peserta aksi yang datang dari
Jawa Timur sebanyak lima bus. Mereka mengaku datang dari Madura. Peserta masuk masjid setelah waktu Isya. Pihak masjid memberikan kesempatan untuk beribadah dan bersih-bersih.

""Setelah mendekati jam 10 (malam), kami ketemu dengan ketua rombongannya, kami umumkan kepada rombongannya bahwasanya aturan di Istiqlal, masjid ini akan ditutup dan akan dibuka lagi nanti satu jam sebelum Shubuh,"" ujarnya.

Abu menerangkan, rombongan dari Jawa Timur paham dan mengerti. Pihak pengelola masjid menunggu mereka sampai meninggalkan Masjid Istiqlal dengan sukarela. Kemudian pada pukul 03.40 WIB masjid dibuka kembali.


""Dan yang ada di foto itu, kelihatan orang ngantre mau masuk, itu adalah rombongan ziarah Wali Songo dan anak-anak sekolah, biasa itu mah, mereka tiap hari kalau ke Istiqlal rombongan itu,"" jelasnya. Ia menegaskan, kesimpulannya berita yang beredar di instagram, Twitter dan media sosial lainnya, itu bohong",Valid,"Beredar foto peserta Aksi 212 Jilid Dua di media sosial yang tidak bisa masuk Masjid
Istiqlal dini hari tadi karena pintu masjid ditutup."
"Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI)? membantah pihaknya tidak menerima massa Aksi 212 Jilid II yang akan melakukan ibadah Salat Subuh di sana. Sebelumnya beredar kabar pengurus masjid terbesar di Asia Tenggara itu sengaja menutup pagar lantaran tidak ingin ?massa aksi melakukan Salat Subuh di sana. Bahwa dalam rangka mengoptimalkan keamanan masjid BPPMI Masjid Istiqlal sejak 2002 telah memberlakukan aturan (SOP), menutup pintu-pintu gerbang pada setiap malam pukul 21.30 WIB dan membukanya kembali pada pagi hari pukul 03.40 WIB menjelang diselenggarakannya ibadah Salat Subuh. Seluruh peziarah tidak diperkenankan menginap di area Masjid Istiqlal kecuali dalam kondisi tertentu dan atas izin dari pihak keamanan dan pimpinan BPPMI,"" kata Humas BPPMI Abu Hurairah Abd Salam Selasa (21/2/2017). Abu menjelaskan, kondisi malam hari 20 Februari 2017 sampai dini hari 21 Februari 2017, pihak keamanan Masjid Istiqlal sudah menjelaskan kepada jamaah yang berkumpul di halaman Masjid Istiqlal mengenai prosedur tersebut. Sehingga, para demonstran memahami serta bersedia meninggalkan area Masjid Istiqlal. ""BPPMI tidak mendapat pemberitahuan dari pihak manapun terkait adanya rencana jamaah yang akan menginap seperti pada kondisi sebelumnya saat umat Islam mengadakan Aksi 411, 212, atau 112. Juga tidak ada komunikasi khusus dari pihak berwajib terkait hal tersebut,"" imbuhnya. Abu menambahkan, pengurus Masjid Istiqlal senantiasa berkhidmat kepada umat dan mengupayakan kesatuan serta persatuan bangsa dan senantiasa menjaga kenyamanan beribadah. BPPMI menyatakan bahwa berita-berita negatif yang telah tersebar di media sosial mengenai hal tersebut di atas, tidak sesuai dengan kenyataan dan cenderung bermuatan provokasi,"" jelasnya. Abu berharap kaum Muslimin tidak terpengaruh oleh pemberitaan yang tidak dapat dipertanggungjawabkan tersebut. ""Pelaksanaan Salat Subuh di Masjid Istiqlal pada hari ini berjalan dengan baik dan lancar, dipimpin oleh Imam, Ustadz Salim Ghazali. Jumlah jamaah sekira 240 orang atau laki-laki 170 dan wanita 70 orang,"" tandasnya.",Valid,Badan Pelaksana Pengelola Masjid Istiqlal (BPPMI)?
"Peserta Aksi 212 Jilid 2 yang berasal dari luar kota telah berdatangan di Masjid Istiqlal, namun mereka tidak bisa masuk karena pintu pagar masjid dikunci. Menurut pantauan, ratusan massa mengendarai 5 bos yang diantaranya berplat nomor AD (Solo dan sekitarnya) tertahan di pintu masuk masjid Istiqlal, Senin (20/2) malam, akibat masjid yang biasanya menjadi tempat berkumpul Aksi Bela Islam sebelumnya itu ditutup.

Aparat kepolisian yang berjaga di depan Masjid Istiqlal kemudian mengarahkan bus dari daerah itu ke tempat lain. Tidak dijelaskan kemana tempat berkumpul massa tersebut dialihkan. Sebelumnya, Forum Umat Islam (FUI) memastikan tidak ada long march saat aksi 212 jilid II, Selasa (21/2) besok. Peserta aksi akan diarahkan langsung menuju ke titik konsentrasi aksi di depan gedung DPR/MPR RI.

Skenario kita tidak ada long march. Jadi peserta diimbau semuanya langsung menuju ke gedung DPR/MPR RI, kata Ustaz Bernard Abdul Jabbar selaku koordinator aksi 212 jilid II kepada wartawan di Mapolda Metro Jaya, Jakarta. Ustadz Bernard memperkirakan jumlah peserta aksi yang akan hadir 10 ribu orang. Massa dari luar Jakarta diminta memarkir kendaraannya di kantong-kantong parkir yang telah disiapkan.

Dan bagi mereka yang dari daerah-daerah yang bawa bus dan kendaraan, kami kemudian arahkan untuk parkir di Parkir Timur Senayan kalau yang dari arah selatan dan timur. Sementara dari arah barat ini akan kami arahkan untuk (memarkir kendaraan) di Stasiun Palmerah dan di depan gedung Departemen Kehutanan, jelasnya. Ia menambahkan, pihaknya juga tidak memberikan fasilitas tempat penginapan bagi peserta aksi dari luar daerah. Artinya mereka yang dari luar kota Jakarta dipersilakan mencari tempat istirahat sendiri.",Hoax,"Peserta Aksi 212 Jilid 2 yang berasal dari luar kota telah berdatangan di Masjid Istiqlal, namun mereka tidak bisa masuk karena pintu pagar masjid dikunci."
